,rstar
Jan-60,NaN
Apr-60,NaN
Jul-60,NaN
Oct-60,NaN
Jan-61,5.793640481
Apr-61,6.55947421
Jul-61,6.063673599
Oct-61,6.027065547
Jan-62,5.689127636
Apr-62,5.019256156
Jul-62,4.593246037
Oct-62,4.051886275
Jan-63,4.042697405
Apr-63,4.097098254
Jul-63,4.385513593
Oct-63,4.146026417
Jan-64,4.504387775
Apr-64,4.451175417
Jul-64,4.499664805
Oct-64,4.260959787
Jan-65,4.698880835
Apr-65,4.725681489
Jul-65,4.942472921
Oct-65,5.204200681
Jan-66,5.494216844
Apr-66,5.336277286
Jul-66,5.332890584
Oct-66,5.377773992
Jan-67,5.301716993
Apr-67,5.159276678
Jul-67,5.265032562
Oct-67,5.31896089
Jan-68,5.617938315
Apr-68,5.773877438
Jul-68,5.709469588
Oct-68,5.643540357
Jan-69,5.761476842
Apr-69,5.675505722
Jul-69,5.629237369
Oct-69,5.388569502
Jan-70,5.223728434
Apr-70,5.176686406
Jul-70,5.184904174
Oct-70,5.011443967
Jan-71,5.339601944
Apr-71,5.169173801
Jul-71,4.936502054
Oct-71,4.473424629
Jan-72,4.647466345
Apr-72,4.59538991
Jul-72,4.45721252
Oct-72,4.393390104
Jan-73,4.511605135
Apr-73,4.733943041
Jul-73,4.557153536
Oct-73,4.670720695
Jan-74,4.644362911
Apr-74,5.007794348
Jul-74,5.200675357
Oct-74,5.044682437
Jan-75,4.466176056
Apr-75,4.057524816
Jul-75,4.038537367
Oct-75,4.06938357
Jan-76,4.090417553
Apr-76,3.620218075
Jul-76,3.617831177
Oct-76,3.604532223
Jan-77,3.665303898
Apr-77,3.669107838
Jul-77,3.804321325
Oct-77,3.459118825
Jan-78,3.367532404
Apr-78,3.912665087
Jul-78,3.861950061
Oct-78,3.973211503
Jan-79,3.393204367
Apr-79,3.91151227
Jul-79,3.820050238
Oct-79,3.857689179
Jan-80,4.178352325
Apr-80,3.776344064
Jul-80,3.776644223
Oct-80,4.282875561
Jan-81,4.42028352
Apr-81,3.907598283
Jul-81,3.988302737
Oct-81,3.625982356
Jan-82,3.039171283
Apr-82,2.988393693
Jul-82,3.177778909
Oct-82,3.074534243
Jan-83,3.186363997
Apr-83,2.821416565
Jul-83,3.484955906
Oct-83,3.039439638
Jan-84,3.189665871
Apr-84,3.416619403
Jul-84,3.237423144
Oct-84,3.003279359
Jan-85,3.739195893
Apr-85,3.476072916
Jul-85,3.695647872
Oct-85,3.258176284
Jan-86,3.427676763
Apr-86,3.023811208
Jul-86,3.013337291
Oct-86,3.083734509
Jan-87,2.784369211
Apr-87,3.041015329
Jul-87,3.065789254
Oct-87,3.326943616
Jan-88,3.217914237
Apr-88,3.583246461
Jul-88,3.650233092
Oct-88,3.699430888
Jan-89,3.70872441
Apr-89,3.47037673
Jul-89,3.215759083
Oct-89,3.272211722
Jan-90,3.611390688
Apr-90,3.676979027
Jul-90,3.608393167
Oct-90,3.08309209
Jan-91,2.766149366
Apr-91,2.847824778
Jul-91,3.037017089
Oct-91,2.906342372
Jan-92,2.896709124
Apr-92,2.885858886
Jul-92,2.636399117
Oct-92,2.719968253
Jan-93,2.612842482
Apr-93,2.631017844
Jul-93,2.370461429
Oct-93,2.326488066
Jan-94,2.189850102
Apr-94,2.419356583
Jul-94,2.214021748
Oct-94,2.128188347
Jan-95,2.021218188
Apr-95,1.942458933
Jul-95,1.876502056
Oct-95,1.959481825
Jan-96,1.87202667
Apr-96,2.07991848
Jul-96,2.09631427
Oct-96,2.285948934
Jan-97,2.129551628
Apr-97,2.404127907
Jul-97,2.223187163
Oct-97,2.216344516
Jan-98,2.238180349
Apr-98,2.362557826
Jul-98,2.617935707
Oct-98,2.774630699
Jan-99,2.800021363
Apr-99,2.82201461
Jul-99,2.849374262
Oct-99,3.090901259
Jan-00,3.114605183
Apr-00,3.055335817
Jul-00,3.032494958
Oct-00,3.067801595
Jan-01,3.027136491
Apr-01,3.011155778
Jul-01,2.780727326
Oct-01,2.993566897
Jan-02,2.902839571
Apr-02,3.138077458
Jul-02,3.021865336
Oct-02,2.693247832
Jan-03,2.388619287
Apr-03,2.376022368
Jul-03,2.585306904
Oct-03,2.544465997
Jan-04,2.623578223
Apr-04,2.652771838
Jul-04,2.508238453
Oct-04,2.427767762
Jan-05,2.557975146
Apr-05,2.404857932
Jul-05,2.227265762
Oct-05,2.313139663
Jan-06,2.308568011
Apr-06,2.407828214
Jul-06,2.170907277
Oct-06,2.046547504
Jan-07,2.277267524
Apr-07,1.962783392
Jul-07,2.016791654
Oct-07,2.144858741
Jan-08,1.800736045
Apr-08,1.605428179
Jul-08,1.238402668
Oct-08,0.401879365
Jan-09,0.265583078
Apr-09,0.737431375
Jul-09,0.522254761
Oct-09,0.765814262
Jan-10,0.418301295
Apr-10,0.345297695
Jul-10,0.266179085
Oct-10,0.10049783
Jan-11,-0.081866746
Apr-11,0.206075554
Jul-11,0.123216132
Oct-11,0.175336734
Jan-12,0.32933151
Apr-12,0.186094116
Jul-12,-0.079423565
Oct-12,-0.102601272
Jan-13,-0.112248443
Apr-13,-0.333649116
Jul-13,-0.215838059
Oct-13,-0.067264875
Jan-14,-0.293499338
Apr-14,-0.0599212
Jul-14,-0.066651038
Oct-14,-0.227275433
Jan-15,-0.245411981
Apr-15,0.036422132
Jul-15,0.010802634
Oct-15,-0.061432883
Jan-16,0.193374042
Apr-16,0.219665144
Jul-16,0.216005645
