date,-Cy_bar,G_bar,B_bar,r_bar
1/1/1960,0.505,-0.589,-0.1401,-0.2241
4/1/1960,0.5002,-0.5922,-0.1407,-0.2327
7/1/1960,0.4993,-0.5963,-0.1403,-0.2373
10/1/1960,0.5007,-0.5906,-0.1401,-0.23
1/1/1961,0.4994,-0.582,-0.1395,-0.2221
4/1/1961,0.4947,-0.5704,-0.1384,-0.2141
7/1/1961,0.4896,-0.5603,-0.1373,-0.208
10/1/1961,0.4828,-0.551,-0.1361,-0.2043
1/1/1962,0.4779,-0.5452,-0.1353,-0.2026
4/1/1962,0.4717,-0.5401,-0.136,-0.2044
7/1/1962,0.4685,-0.5345,-0.1365,-0.2025
10/1/1962,0.4646,-0.5327,-0.1355,-0.2036
1/1/1963,0.4626,-0.5294,-0.1356,-0.2024
4/1/1963,0.4596,-0.5253,-0.1341,-0.1998
7/1/1963,0.4518,-0.5152,-0.1328,-0.1962
10/1/1963,0.4469,-0.5093,-0.1322,-0.1946
1/1/1964,0.4387,-0.4981,-0.1313,-0.1907
4/1/1964,0.4291,-0.4905,-0.1307,-0.1921
7/1/1964,0.4189,-0.4859,-0.13,-0.197
10/1/1964,0.4115,-0.4822,-0.1287,-0.1994
1/1/1965,0.3998,-0.4738,-0.1291,-0.2031
4/1/1965,0.3856,-0.4672,-0.1289,-0.2105
7/1/1965,0.3718,-0.4558,-0.1284,-0.2124
10/1/1965,0.3554,-0.4485,-0.1263,-0.2194
1/1/1966,0.3368,-0.4474,-0.1253,-0.2359
4/1/1966,0.3181,-0.4417,-0.1231,-0.2467
7/1/1966,0.2999,-0.4324,-0.1221,-0.2546
10/1/1966,0.2809,-0.4268,-0.1209,-0.2668
1/1/1967,0.2656,-0.4259,-0.121,-0.2813
4/1/1967,0.2491,-0.4187,-0.1207,-0.2903
7/1/1967,0.2272,-0.4067,-0.1197,-0.2992
10/1/1967,0.2072,-0.3849,-0.1165,-0.2942
1/1/1968,0.1793,-0.3707,-0.1146,-0.306
4/1/1968,0.1544,-0.361,-0.1141,-0.3207
7/1/1968,0.1343,-0.3592,-0.1124,-0.3373
10/1/1968,0.123,-0.3544,-0.1115,-0.3429
1/1/1969,0.1118,-0.3414,-0.1098,-0.3394
4/1/1969,0.0929,-0.3401,-0.1095,-0.3567
7/1/1969,0.0769,-0.3296,-0.1074,-0.3601
10/1/1969,0.0616,-0.3159,-0.1044,-0.3587
1/1/1970,0.0438,-0.3011,-0.1027,-0.36
4/1/1970,0.0323,-0.2896,-0.0999,-0.3572
7/1/1970,0.0133,-0.2819,-0.0995,-0.3681
10/1/1970,-0.0006,-0.2818,-0.0996,-0.382
1/1/1971,-0.0087,-0.2837,-0.0986,-0.391
4/1/1971,-0.0172,-0.2749,-0.0979,-0.39
7/1/1971,-0.0227,-0.2646,-0.0972,-0.3845
10/1/1971,-0.0276,-0.2678,-0.0974,-0.3928
1/1/1972,-0.0272,-0.2691,-0.0958,-0.3921
4/1/1972,-0.0241,-0.2626,-0.0951,-0.3818
7/1/1972,-0.0232,-0.2654,-0.095,-0.3836
10/1/1972,-0.0172,-0.2723,-0.0962,-0.3857
1/1/1973,0.0003,-0.282,-0.0963,-0.378
4/1/1973,0.0106,-0.294,-0.0979,-0.3813
7/1/1973,0.0231,-0.2902,-0.0973,-0.3644
10/1/1973,0.0287,-0.2997,-0.0983,-0.3693
1/1/1974,0.0341,-0.3086,-0.1013,-0.3758
4/1/1974,0.0356,-0.3125,-0.1022,-0.3791
7/1/1974,0.0332,-0.3145,-0.1023,-0.3836
10/1/1974,0.0276,-0.3143,-0.1028,-0.3895
1/1/1975,0.0281,-0.3095,-0.1023,-0.3837
4/1/1975,0.0334,-0.3045,-0.1025,-0.3736
7/1/1975,0.0326,-0.3059,-0.1023,-0.3756
10/1/1975,0.0298,-0.3022,-0.1014,-0.3738
1/1/1976,0.0291,-0.2974,-0.0991,-0.3674
4/1/1976,0.0354,-0.2909,-0.098,-0.3535
7/1/1976,0.0346,-0.2901,-0.0972,-0.3527
10/1/1976,0.033,-0.2947,-0.0966,-0.3583
1/1/1977,0.0331,-0.2974,-0.097,-0.3613
4/1/1977,0.0376,-0.3027,-0.0963,-0.3614
7/1/1977,0.0384,-0.3098,-0.0957,-0.3671
10/1/1977,0.0374,-0.3114,-0.0959,-0.3699
1/1/1978,0.036,-0.3143,-0.0953,-0.3736
4/1/1978,0.0266,-0.3205,-0.0959,-0.3898
7/1/1978,0.023,-0.3324,-0.0982,-0.4076
10/1/1978,0.0153,-0.3416,-0.0977,-0.424
1/1/1979,0.004,-0.3555,-0.0993,-0.4508
4/1/1979,-0.0115,-0.3675,-0.0999,-0.4789
7/1/1979,-0.0266,-0.3758,-0.1008,-0.5032
10/1/1979,-0.037,-0.3564,-0.0979,-0.4913
1/1/1980,-0.0408,-0.3303,-0.094,-0.4651
4/1/1980,-0.0525,-0.3471,-0.0948,-0.4944
7/1/1980,-0.0522,-0.3472,-0.0942,-0.4936
10/1/1980,-0.054,-0.328,-0.0906,-0.4726
1/1/1981,-0.0535,-0.3286,-0.0888,-0.4709
4/1/1981,-0.0426,-0.3133,-0.0858,-0.4417
7/1/1981,-0.0322,-0.2945,-0.0831,-0.4098
10/1/1981,-0.0355,-0.2959,-0.083,-0.4144
1/1/1982,-0.0351,-0.2674,-0.0776,-0.3801
4/1/1982,-0.0409,-0.2583,-0.0767,-0.3759
7/1/1982,-0.0557,-0.2586,-0.0756,-0.3899
10/1/1982,-0.0699,-0.2828,-0.0787,-0.4314
1/1/1983,-0.063,-0.2788,-0.0769,-0.4187
4/1/1983,-0.0574,-0.2777,-0.0753,-0.4104
7/1/1983,-0.0496,-0.2634,-0.0738,-0.3868
10/1/1983,-0.046,-0.2612,-0.0724,-0.3796
1/1/1984,-0.0442,-0.2568,-0.0705,-0.3715
4/1/1984,-0.0415,-0.2304,-0.0668,-0.3387
7/1/1984,-0.0461,-0.2136,-0.0636,-0.3233
10/1/1984,-0.0532,-0.2141,-0.0629,-0.3302
1/1/1985,-0.0604,-0.2073,-0.061,-0.3287
4/1/1985,-0.0706,-0.2181,-0.0607,-0.3494
